created_at,text
2021-11-30 20:29:46,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 20:24:26,"@LauraHuu Russian embassy: ""Nazi Germany supplied arms to Finland 1939 so we had to start Winter War""

Reality: Bca… https://t.co/fWFCejaA9y"
2021-11-30 20:11:40,"Salon Kitty 1977 Full HD Movie 

https://t.co/nn1i7ba81R 

#SalonKitty #Movies #movie #Hitler #adult #Vintage… https://t.co/jkIgW8NsOc"
2021-11-30 20:09:54,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 19:28:11,@CawthornforNC Is he your #Führer now? I thought you reserved that for #Hitler when you visited the #EaglesNest.… https://t.co/3nieyEklYi
2021-11-30 19:27:37,@KaderAriz @Deiidou 😂🤣😂🤣 I know those that worship #Hitler  and the Nazis would appreciate this monument👌🏽People de… https://t.co/orlq7M2tk9
2021-11-30 19:24:00,"RT @ChrisWe19956626: #Brexit ""They need us more than we need them""""We hold all the cards"". #Covid_19 uk well equipped to deal with Covid""""O…"
2021-11-30 19:08:20,@gazeta_wyborcza #Hitler  was Austrian so #Austria has good experience in introducing fascist &amp; Nazi terror society… https://t.co/oxhYxob1mf
2021-11-30 18:47:25,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 18:41:06,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 18:38:39,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 18:38:12,@AcademicLounge I wouldn’t call it a Soviet regime but a #Hitler regime where all Poor Jews where forced in ghettos… https://t.co/ZAjywFbOn8
2021-11-30 18:32:27,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 18:23:08,RT @CoincidenceLuka: They don't do it by themselves ...  they get a team of experts ( A.K.A technocrats ) and big private business to suppo…
2021-11-30 18:21:54,They don't do it by themselves ...  they get a team of experts ( A.K.A technocrats ) and big private business to su… https://t.co/zHtPiRCX4D
2021-11-30 18:06:31,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 18:00:02,"Not a fan of Rep. Omar’s, but what Boebert said is beyond the pale, following the likes of Green, Gosar, Jerry Falw… https://t.co/YP8DpisGDW"
2021-11-30 17:59:40,@RepCawthorn Based on your history that would be the #Nazi flag. I’ve seen your comments about #Hitler and your vis… https://t.co/ckLtZ1kSCi
2021-11-30 17:55:12,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 17:52:19,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 17:28:55,RT @Charles_Lister: More prosecutable evidence exists against #Assad than we had against #Hitler -- so the recent wave of regional re-engag…
2021-11-30 17:19:42,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 17:17:34,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-11-30 17:11:31,"RT @TeresaMaes8: @koninklijkhuis @schuldenlab #hitler #argentina #BioWeapon shots, #Masks #Algorithms #CrimesAgainstHumanity #CrimesAgainst…"
2021-11-30 17:11:24,"@koninklijkhuis @schuldenlab #hitler #argentina #BioWeapon shots, #Masks #Algorithms #CrimesAgainstHumanity… https://t.co/UUc4iuUQDv"
2021-11-30 17:03:10,"RT @BandanaMrs: AGAIN AGAIN BY HOOK OR BY CROOK, BILLS  PASSED WITHOUT DEBATE VIOLATING #Constitution  RULES, AS USUAL PRACTICE LIKE RULLIN…"
2021-11-30 17:03:07,"RT @BandanaMrs: HOW LONG #CITIZEN ARE TO BE BEFOOLING WHEN #PARLIAMENTMONSOONSESSION,14 NOS BILLS PASSED KICKING OUT OPPOSITION INTO DUSTBI…"
2021-11-30 16:58:06,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 16:55:44,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 16:43:34,Is #hitler back?? 🤔 https://t.co/3n1mTWD72x
2021-11-30 16:38:48,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
